block_time_day,market_supply_assets_USD,market_borrow_assets_USD,MORPHO_tokens_supply,MORPHO_tokens_borrow,MORPHO_dollars_supply,MORPHO_dollars_borrow,vaults_revenue
2024-08-22T00:00:00.000000,702188481.0761138,570517532.1553167,48328.83278997312,4590.377880921526,36053.30926131994,3424.421899167458,1654.0102119704852
2024-12-30T00:00:00.000000,2408112212.531308,1895034866.884549,75160.0,7533.993729379027,218191.68642534327,21872.164281058747,35531.795634206486
2025-01-28T00:00:00.000000,2768461496.02465,2288501319.2930174,67703.7732500428,6743.242580301769,209846.90623620022,20898.045130907565,25020.210201611844
2024-01-22T00:00:00.000000,28047328.98920024,16392832.801582202,5068.664169787764,0.0,542.347066167291,0.0,54.31916765497089
2024-03-09T00:00:00.000000,87103078.96796773,76143831.46653754,30055.555555555547,0.0,3215.9444444444425,0.0,1161.7725511762103
2024-10-08T00:00:00.000000,742334145.3712897,580123371.4154325,57693.872275518595,5464.412317206469,43039.62871753686,4076.451588636025,1981.0978620600617
2024-03-27T00:00:00.000000,124548937.88558857,92893985.72602883,41431.33583021223,0.0,4433.152933832707,0.0,2434.9539893279584
2025-04-03T00:00:00.000000,2286144510.686451,1806691859.0165327,34308.828822775715,2932.4908274444124,39056.12654991845,3339.2826929072817,11895.284315802972
2024-05-13T00:00:00.000000,507120930.8249012,402929764.3792869,39119.91056925417,0.0,4185.830430910198,0.0,2133.235069500142
2025-01-10T00:00:00.000000,2627755316.8728523,2095552688.697533,71617.65228678807,7220.348226400381,212442.6475220104,21414.115260876413,45620.27895727196
2025-03-05T00:00:00.000000,2404280234.699422,1889311410.763808,32139.96304409244,3329.2231125969324,55587.51488838582,5757.90584483657,20392.943962387955
2024-04-25T00:00:00.000000,502357401.0250662,395983186.9770667,37987.25105118601,0.0,4064.6358624769023,0.0,1453.6857741698275
2025-03-16T00:00:00.000000,2285568397.200452,1782291461.5936062,33569.624342316616,3315.3263593469374,29286.953808680613,2769.3040380665293,17421.663686163796
2024-07-17T00:00:00.000000,834164585.7749419,626739321.3410963,50266.9603457911,6061.579309035613,5378.564756999645,648.5889860668104,1863.4556531196654
2024-10-26T00:00:00.000000,852659986.4828779,677971948.3738811,59398.27260663827,5110.00905448589,44311.111364552155,3812.0667546464774,3421.6309292613423
2024-02-09T00:00:00.000000,36137348.10910453,30498414.7435421,14027.933832709108,0.0,1500.988920099875,0.0,304.595487686241
2024-12-12T00:00:00.000000,1798547033.9153132,1491128330.711403,89659.99999999999,11247.324250649666,201006.60698096902,25210.48289015798,16927.15581356222
2024-09-20T00:00:00.000000,712713578.7600709,561883125.6273211,51997.4876900245,4213.22904993971,38790.12581675826,3143.0688712550245,2833.2713288792215
2024-11-24T00:00:00.000000,1287352260.155207,1053845797.424936,85689.23260533674,9900.260906738007,70325.07632401522,8134.130621958854,4922.417946438833
2024-06-18T00:00:00.000000,770129954.4417313,652591922.4413521,48500.5285583576,2970.9188837463125,5189.5565557442615,317.8883205608555,2677.846949883008
2024-02-02T00:00:00.000000,29314396.756833017,21750144.374145553,5720.349563046191,0.0,612.0774032459427,0.0,93.2930007821043
2024-08-04T00:00:00.000000,788360363.1148362,609445341.9938307,49310.05997882031,5080.54093715061,36785.304744199944,3790.0835391143546,1988.4099542766314
2024-02-20T00:00:00.000000,60124818.81411912,52415311.998772964,28373.90761548064,0.0,3036.0081148564277,0.0,381.52644343717594
2024-04-14T00:00:00.000000,471260426.9509207,352813627.45949906,35715.647940074894,0.0,3821.5743295880143,0.0,2465.6604485510034
2024-05-31T00:00:00.000000,641074637.0938549,540325640.5712917,40634.920953703695,0.0,4347.936542046295,0.0,1987.8072153094395
2024-09-02T00:00:00.000000,699700181.1171819,556768081.7231321,50986.11068140764,4601.352316394044,38035.63856833012,3432.6088280299546,1676.8546601085566
2024-11-06T00:00:00.000000,887014664.941108,689159411.3568534,61556.55978595881,6543.080370462608,45921.19360032526,4881.137956365106,3399.603324557856
2025-02-15T00:00:00.000000,2714496491.140802,2151356620.1988325,43774.825546648775,4213.46992943308,95354.64972806149,9178.680966230633,19134.84871387202
2024-06-29T00:00:00.000000,808220059.765258,612322387.9961643,54352.52797903048,2849.846805160502,5815.720493756263,304.93360815217363,1781.9115989159354
2024-11-17T00:00:00.000000,952160074.243299,781708554.926873,69321.46202249872,7072.843673987373,51713.810668784026,5276.341380794579,4513.287642116878
2024-05-06T00:00:00.000000,513854939.4867896,395798818.03735024,37407.581802130895,0.0,4002.611252828005,0.0,1490.2685746774284
2025-02-08T00:00:00.000000,2590164603.1908455,2088030554.44592,45546.885829596555,4415.177557471402,80862.21331571175,7836.540884917214,23493.37451157013
2025-02-26T00:00:00.000000,2368427640.2962074,2020909287.8276396,33008.60191185858,3592.5205584698565,65340.87171587915,7111.6577699867275,36572.4699128365
2024-06-11T00:00:00.000000,762944907.5827215,603373088.3972615,44487.70433333332,0.0,4760.1843636666645,0.0,2299.404142041818
2025-04-14T00:00:00.000000,2045067142.790074,1688662426.3701265,29928.885878028796,2921.007186406041,29555.2794046259,2884.7025528551344,11659.447459803929
2024-04-07T00:00:00.000000,265649407.47161677,229373570.8996368,43668.5393258427,0.0,4672.533707865167,0.0,2143.6486538420286
2024-06-22T00:00:00.000000,788082566.0020728,644625831.4701641,52934.64466721652,2841.1318871230023,5664.006979392171,304.00111192216116,2498.4828961204266
2024-10-19T00:00:00.000000,735075605.7982832,550950450.1801596,59799.59204699584,4939.910998409115,44610.495667058865,3685.1736048132,2126.370625102212
