market_address,supply_assets_USD,borrow_assets_USD,liquidity_assets_USD,utilization,morpho_tokens,morpho_tokens_cumulative,borrow_asset_symbol,supply_asset_symbol
0x0a7a50f4349e6d39f1cbb79b41be8d23197eab9aee953b472548ebc0ab744adb,0.0,0.0,0.0,0.0,0.0,0.0,WETH,USDC
0x0a9424fdcacb9c5093de81f836f6a068f764ee02211282ffa1997c328eafbd49,0.0,0.0,0.0,0.0,0.0,0.0,WETH,wUSDM
0x0af29fe95ebc9c17dc82df69953f2d1be0dd5c5353db755bf5e24195b33c68e2,0.0,0.0,0.0,0.0,0.0,0.0,sAMM-xUSDz/USDC,xUSDz
0x0af7f7f961ccf778fcc40f0a43d2878cc595fd81203e1a9fea1b65266805cf32,0.0,0.0,0.0,0.0,0.0,0.0,USCC,USDC
0x0b08ec9e5363d5af926f186b47300c1cfef6afae298df4d457db71438534fd27,0.0,0.0,0.0,0.0,0.0,0.0,PT-corn-eBTC-27MAR2025,WBTC
0x0b352b7550acdb1f39fea4b8f9ef8ac2d7953613b92599610b8fbec8a98a51d1,1.3607809735450858,1.1507876168010551,0.2099933567440306,0.8456846003931688,3.52848951230102e-06,0.011632064742355,wstETH,EURCV
0x0b3bdf8627442f43607716b9e20475500fd62cb91bbb2c16c711e7c31038beb8,110015.51942481963,13338.05453489705,96677.4648899226,0.1212379851354332,2.126326836329421,4140.744053851443,wstETH,MAI
0x0bdde77fdaeaea9bd6e2a91021bf26c2b97a1c25d2070caaa10504698ab9159e,129954.83888209645,95341.1423895824,34613.69649251402,0.7336552709482275,2.197015813905657,173.62459644395508,wUSDL,PYUSD
0x0bddfcfe17bd5618cfe884e4a99439335956c5e4355444438c8750eb0fd4cc6f,0.0,0.0,0.0,0.0,0.0,0.0,WETH,USDC
0x0be56a001ebf37e4e1fc01c3b3f5e61efd9041284c9b877a47173acaed6ca11d,0.0,0.0,0.0,0.0,0.0,0.0,ysUSDS,crvUSD
0x0cd36e6ecd9d846cffd921d011d2507bc4c2c421929cec65205b3cd72925367c,36213.20931118132,32280.17580526088,3933.033505920437,0.8913958217734335,0.0,35368.00337908943,stkcvxcrvCRVUSDTBTCWSTETH-morpho,crvUSD
0x0cf0597c314f60b9e42d4666073014cf4f7cdf72dea45626aa1caad695c74f2a,0.9430555750540178,0.8575277407471128,0.085527834306905,0.9160664882692304,7.959066339107038e-06,0.0001723614497783,bbqWSTETH,WETH
0x0d4e6103803b66702b0aefc95d923b5583ac458dc613ba6be8404efd851636ca,0.0,0.0,0.0,0.0,0.0,0.0,gtUSDC,USDA
0x0d55c325847ed87d53506c2aca7de046cb59d8c22928fd55fb2790c4811d20db,1191715.8029544423,1063672.127992886,128043.67496155643,0.8925556134171743,10.103411167191611,31625.809461930392,rswETH,msETH
0x0df0f6ca33322cff4111c2b7ff9b267a71f9b63701c3cbdbbc61d054662b1d3f,740435.834452068,561621.2985567494,178814.5358953186,0.7718617621702465,0.0,55.02147913181754,LP-USR-24APR2025,USR
0x0df50b7250d2dc004d95605ba77ec42b78214bc93feeda34b2eebd4d4315e319,0.011391085,0.0,0.011391085,0.0,0.0,0.0,cbBTC,EURC
0x0e09fd645a1f79b76aa54d0ca5a10a8aac0f031c179b6e1874ef6e9d5d588ad6,1.6103868673100037e-15,0.0,1.6103868673100037e-15,0.0,0.0,0.0,fxUSD,WETH
0x0e71562603ba2985c1b0fe104ef276335b68066c960fcbd39b2c2332be19edd8,0.0,0.0,0.0,0.0,0.0,0.0,cUSDOUSDC,USDC
0x0ec590b250f171c22d39958a55a0589091431fe90599d55409c39aeb01363cb0,1561311.0100293383,1201614.6216951576,359696.3883341809,0.8313259167957567,24.797103187335317,4181.813780595489,USR,USDT
0x0eed5a89c7d397d02fd0b9b8e42811ca67e50ed5aeaa4f22e506516c716cfbbf,12151.691147684229,10866.602931197423,1285.0882164868017,0.894256100823701,0.1030478353109522,147533.67415432516,pufETH,WETH
0x0f7d9d8eb89097a0addacda1b3fe12fb7ce1ee3a6fd9059d9e67395389005819,0.0,0.0,0.0,0.0,0.0,0.0,PT-USDe-26DEC2024,USDC
0x0f8ff4fa22195841e7fd1e0520f650a4d71247f75b9a1eb4ecabe111776a118c,30108.354986834664,99.32658278382507,30009.02840405084,0.0032989819353287,0.4742265474813533,117.3385067628935,mEDGE,USDC
